ciudad,porcentaje
Estados Unidos Mexicanos,78.9
Aguascalientes,56.4
Baja California,66.4
Baja California Sur,48.2
Campeche,61
Coahuila de Zaragoza,57.1
Colima,77.8
Chiapas,68.8
Chihuahua,80.8
Ciudad de México,89.2
Durango,64.7
Guanajuato,88.8
Guerrero,84.7
Hidalgo,65.5
Jalisco,77.7
México,88.8
Michoacán de Ocampo,80.2
Morelos,88.5
Nayarit,60.5
Nuevo León,81.7
Oaxaca,71.2
Puebla,87.7
Querétaro,62
Quintana Roo,82.1
San Luis Potosí,77.6
Sinaloa,64.6
Sonora,68.3
Tabasco,90.2
Tamaulipas,83.1
Tlaxcala,69.4
Veracruz de Ignacio de la Llave,87.6
Yucatán,37.5
Zacatecas,80.6
